
SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017068 							  7
0017069 							  4
0017076 							  1
0017085 							  3
0017087 							  4
0017133 							  8
0017134 							  2
0017138 							  1
0017143 							  1
0017145 							 57
0017146 							  5

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017147 							 63
0017148 							 10
0017149 							  1
0017164 							 21
0017178 							  2
0017192 							  1
0017193 							 24
0017203 							 29
0017313 							  1
0017329 							  3
0017572 							 54

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017573 							 15
0017576 							 10
0017577 							  2
0017579 							 22
0017607 							  1
0017653 							  1
0017702 							  3
0017703 							  3
0017737 							  1
0017757 							  2
0017785 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017788 							  8
0017789 							  2
0017819 							  1
0017858 							  1
0017874 							 15
0017879 							  5
0018013 							  3
0018014 							  5
0018015 							  3
0018016 							  1
0018017 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018018 							 18
0018019 							  7
0018044 							  1
0018046 							  1
0018058 							 48
0018067 							  4
0018082 							 47
0018083 							 17
0018122 							  1
0018124 							  2
0018142 							 56

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018162 							  6
0018167 							  3
0018168 							  2
0018172 							162
0018173 							  4
0018174 							109
0018176 							  1
0018177 							 12
0018182 							  3
0018287 							  1
0018322 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018324 							  6
0018328 							  3
0018434 							  1
0018438 							  9
0018479 							 22
0018484 							  4
0018502 							  9
0018503 							  2
0018563 							  2
0018597 							  5
0018599 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018644 							  2
0018702 							  1
0018703 							  1
0019012 							  4
0019014 							  1
0019016 							  1
0019032 							 28
0019037 							  8
0019049 							  5
0019053 							  1
0019055 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019057 							  1
0019059 							  1
0019063 							  1
0019072 							  1
0019077 							  9
0019079 							  2
0019093 							  3
0019094 							  1
0019096 							 10
0019097 							 26
0019099 							 14

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019102 							 10
0019104 							  4
0019105 							 37
0019106 							  7
0019107 							  2
0019109 							  1
0019132 							  3
0019133 							 33
0019135 							 77
0019136 							 18
0019152 							 13

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019153 							  2
0019158 							  1
0019165 							  5
0019166 							  3
0019168 							  6
0019173 							  3
0019175 							  1
0019176 							  7
0019182 							 10
0019183 							 23
0019185 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019186 							  3
0019187 							  2
0019192 							  5
0019202 							  7
0019203 							  3
0019204 							  1
0019208 							  6
0019209 							  1
0019312 							105
0019313 							 30
0019315 							 24

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019316 							 39
0019319 							  1
0019365 							  2
0019403 							  2
0019492 							  3
0019493 							  1
0019512 							  2
0019514 							  7
0019545 							  1
0019562 							 28
0019563 							  8

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019729 							 15
0019739 							  3
0019782 							  4
0019785 							  2
0020101 							 37
0020102 							 75
0020103 							 56
0020104 							 77
0020105 							 50
0020106 							 84
0020107 							 78

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0020108 							 91
0020109 							 72
0020121 							114
0020122 							 84
0020123 							 88
0020124 							102
0020125 							 55
0020126 							 69
0020127 							 47
0020128 							188
0020129 							 66

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021210 							  3
0021260 							  1
0021261 							  4
0021264 							  1
0021267 							  3
0021269 							  3
0021271 							  1
0021274 							  3
0021275 							  1
0021276 							  4
0021277 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021278 							  1
0021367 							  5
0021370 							 21
0021371 							  9
0021373 							  4
0021374 							  2
0021376 							  2
0021378 							  7
0021392 							  1
0021620 							 10
0021621 							 21

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021622 							  2
0021623 							  8
0021696 							  2
0021697 							  2
0021698 							  2
0023480 							 13
0024991 							 69
0024992 							 40
0025675 							 14
0025882 							  3
0027721 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0027728 							  1
0027766 							  1
0027769 							  1
0027823 							  1
0027824 							  3
0027825 							  4
0027827 							  6
0027828 							  9
0027829 							  1
0027833 							  3
0027840 							  4

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0027843 							  2
0027844 							  1
0027845 							  8
0027846 							 13
0027848 							  6
0027849 							 12
0030697 							141
0031610 							  2
0031612 							  3
0031614 							  4
0031618 							 14

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0031621 							  6
0031624 							  8
0031628 							  2
0031636 							  4
0031638 							  5
0031640 							 20
0031641 							  5
0031642 							  4
0031643 							  8
0031648 							  8
0031651 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0032113 							  2
0032478 							  1
0032479 							  3
0032484 							 12
0032485 							 14
0032486 							  6
0032487 							  1
0032494 							  1
0032498 							  5
0033603 							  2
0033607 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0033618 							  2
0033624 							  1
0033662 							  3
0033672 							  6
0033676 							  1
0033678 							  1
0033680 							  1
0033681 							  5
0033682 							  4
0033685 							  3
0034619 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0034626 							  1
0034637 							  3
0034645 							  1
0034647 							  1
0034656 							  2
0034659 							  2
0034660 							  3
0034676 							  2
0034679 							  1
0035196 							  1
0035385 							  6

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0035386 							 12
0035387 							 26
0035486 							  4
0035568 							 16
0035569 							 54
0035799 							 30
0035840 							  5
0035841 							  1
0035845 							 30
0035850 							 36
0035987 							  3

