
SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0016318 							  2
0016465 							  3
0016473 							 19
0016474 							  3
0016476 							  1
0016478 							 21
0016516 							 43
0016607 							  2
0016616 							  1
0016618 							  3
0016619 							  7

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0016622 							  6
0016623 							  2
0016624 							 29
0016628 							 35
0016782 							  4
0016784 							  5
0016785 							  6
0016786 							  2
0016787 							  1
0016788 							  1
0016825 							  6

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017022 							  5
0017025 							  2
0017032 							  2
0017034 							 13
0017035 							  4
0017036 							 22
0017037 							  6
0017039 							  1
0017045 							  9
0017055 							  2
0017057 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017063 							  3
0017064 							  8
0017065 							  6
0017066 							  5
0017067 							 10
0017068 							  6
0017069 							  8
0017133 							 14
0017145 							 63
0017146 							  6
0017147 							 57

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017148 							 15
0017163 							  2
0017164 							 20
0017173 							  1
0017174 							  1
0017178 							  2
0017185 							  4
0017192 							  1
0017193 							 38
0017194 							  1
0017202 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017203 							 23
0017204 							  2
0017206 							  2
0017313 							  2
0017322 							  4
0017323 							  1
0017347 							  1
0017349 							  1
0017404 							  1
0017572 							 50
0017573 							 16

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017575 							  1
0017576 							  9
0017577 							  2
0017578 							  1
0017579 							 22
0017606 							  1
0017702 							  1
0017703 							  6
0017737 							  2
0017788 							 14
0017804 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0017812 							  1
0017858 							  1
0017872 							  4
0017874 							  3
0017879 							  4
0018013 							  1
0018014 							  7
0018015 							  5
0018017 							  3
0018018 							 15
0018019 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018032 							  1
0018034 							 14
0018036 							  2
0018043 							  3
0018044 							  2
0018049 							  1
0018058 							 48
0018067 							  1
0018082 							 46
0018083 							 10
0018085 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018086 							  1
0018087 							  5
0018092 							  3
0018132 							  2
0018137 							  1
0018142 							 56
0018145 							  1
0018162 							  7
0018163 							  2
0018168 							  1
0018169 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018172 							136
0018173 							  2
0018174 							107
0018176 							  1
0018177 							  8
0018182 							  5
0018183 							  1
0018184 							  1
